何,what,nani
あ,a,a
あなた,you,anata
言,Word,gen
行,line,kudari
人,Man,hito
知,Knowledge,chi
事,case,koto
彼女,she,kanojo
お前,you,omae
話,Story,hanashi
来,Coming,ki
分か,Division,waka
者,person,mono
聞,Hearing,聞
死,death,shi
時,Time,toki
殺,Murder,ya
前,Before,mae
中,During ~,naka
達,Daiser,itaru
必要,need,hitsuyō
あの,that,ano
気,air,ki
大丈夫,are you OK,daijōbu
自分,myself,jibun
持,Holding,ji
本当,TRUE,hontō
時間,time,jikan
我々,we,wareware
一,one,ichi
的,Intended,teki
無,Nothing,mu
ありがとう,thank you,arigatō
家,House,ie
会,Meeting,kai
日,Day,hi
年,Year,toshi
仕事,work,shigoto
手,hand,te
一緒,together,issho
後,rear,nochi
出来,Good,deki
他,other,ta
入,Entering,iri
電話,phone,denwa
目,eye,me
様,looks,yō
分,Part,bun
車,car,kuruma
所,Place,tokoro
あんた,You,anta
度,Every time,do
同じ,same,onaji
場所,place,basho
問題,problem,mondai
子供,child,kodomo
愛,Love,ai
金,Money,kimu
名前,name,namae
子,Child,ko
信,Religion,shin
さあ,here we go,sā
少し,a bit,sukoshi
使,Use,shi
全て,all,subete
世界,world,sekai
教え,lesson,oshie
通り,street,tōri
来る,come,kuru
上,Up,ue
入れ,Get in,ire
人間,human,ningen
行け,go,ike
今日,today,kyō
物,thing,mono
女,woman,onna
呼,Call,ko
生き,Life,iki
あれ,that,are
じゃあ,Then,jā
止め,Stop,tome
心配,anxiety,shimpai
母,mother,haha
連れ,Companion,tsure
関係,relationship,kankei
外,Outside,soto
家族,family,kazoku
起き,Rising,oki
意味,meaning,imi
神,God,kami
警察,police,keisatsu
力,Power,chikara
最後,last,saigo
作,Work,saku
次,Next,tsugi
息子,son,musuko
取,Take,to
全部,All,zembu
間,while,ma
書,book,sho
捜査,investigation,sōsa
起こ,Ranging,oko
回,times,kai
別,another,betsu
情報,information,jōhō
理由,reason,riyū
数,number,kazu
一人,One person,ichinin
部屋,room,heya
以上,that's all,ijō
人生,life,jinsei
急,Sudden,kyū
食べ,eat,tabe
女性,woman,josei
続け,continue,tsuzuke
事件,Case,jiken
始め,start,hajime
最初,first time,saisho
連絡,contact,renraku
まあ,oh dear,mā
調べ,Investigation,shirabe
安全,safety,anzen
下さ,Slapstick,kudasa
楽し,Pleasure,tanoshi
殺人,murder,satsujin
下,under,shita
万,Ten thousand,ban
友達,friend,tomodachi
約束,promise,yakusoku
二,two,ni
結婚,marriage,kekkon
無理,unreasonableness,muri
感じ,Feeling,kanji
得,Benefit,toku
最高,Best,saikō
送,Sending,oku
計画,plan,keikaku
仲間,fellow,nakama
先,Precedence,saki
可能,Possible,kanō
あいつ,that person,aitsu
あと,another thing,ato
明日,tomorrow,ashita
変わ,Change,kawa
聞こえ,Hear,kikoe
確認,confirmation,kakunin
命,life,inochi
着,Wearing,chaku
与え,Giving,atae
全員,All,zen'in
動,Movement,dō
理解,Understanding,rikai
二人,Two persons,ninin
開け,open,ake
友人,friend,yūjin
機,Machine,ki
不,Unprecedented,fu
あげ,Gain,age
離れ,Farewell,hanare
戦,War,sen
先生,teacher,sensei
言え,say,ie
質問,question,shitsumon
置,Place,置
犯人,culprit,hannin
受け,received,uke
感,Feeling,kan
第,First,dai
あぁ,Ahh,ā
伝え,Conveyor,tsutae
素晴らし,Wonderful,subarashi
ドア,door,doa
本,Book,hon
乗,Boarding,no
用,for,yō
感謝,Gratitude,kansha
正し,Right,tadashi
言葉,words,kotoba
大,Big,dai
立,Standing,tatsu
写真,photograph,shashin
２人,Two people,2nin
説明,explanation,setsumei
博士,Doctor,hakase
強,strength,tsuyo
絶対,absolutely,zettai
座,seat,za
国,Country,kuni
向か,Opposite,mukaika
名,given name,na
ある,be,aru
野郎,Bogus,yarō
番,Rank,ban
一番,number one,ichiban
重要,important,jūyō
状況,situation,jōkyō
元気,well,genki
水,water,mizu
変え,Change,kae
十分,sufficient,jūfun
週間,week,shūkan
やあ,Hi,yā
父親,father,chichioya
間違い,error,machigai
王,king,ō
了解,roger that,ryōkai
相手,partner,aite
員,Member,in
声,voice,koe
会え,Meet,ae
音,sound,oto
多く,Many,ōku
消え,vanish,kie
会社,company,kaisha
簡単,easy,kantan
選,Election,sen
残念,disappointing,zannen
自由,freedom,jiyū
自身,Themselves,jishin
等,etc,hitoshi
一体,Integral,ittai
人々,people,hitobito
報告,report,hōkoku
読,Reading,読
過ぎ,Over,sugi
通,Passage,tsū
アメリカ,America,amerika
元,Origin,moto
命令,order,meirei
高,High,kō
体,body,karada
大統領,president,daitōryō
月,Month,tsuki
警官,Police officer,keikan
語,word,katari
学校,school,gakkō
対,versus,tai
決め,Decision,kime
真実,truth,shinjitsu
初めて,first time,hajimete
口,mouth,kuchi
大変,hard,taihen
要,Key,yō
変,strange,hen
戦争,war,sensō
学,Learning,gaku
あそこ,over there,asoko
武器,weapon,buki
店,shop,mise
母親,mother,hahaoya
刑事,Criminal,keiji
気持ち,feeling,kimochi
間違,mistake,hazama違
運,luck,un
記録,record,kiroku
光,light,hikari
手伝,help,teden
深,Deep,fuka
落ち着,Calmness,ochigi
存在,Existence,sonzai
実,fruit,mi
役,Role,yaku
病院,hospital,byōin
住,Residence,jū
責任,responsibility,sekinin
あっ,Ah,atsu
普通,usually,futsū
行動,Behavior,kōdō
大きな,big,ōkina
監視,Monitoring,kanshi
協力,cooperation,kyōryoku
多分,perhaps,tabun
実際,actual,jissai
足,legs,ashi
地球,Earth,chikyū
生活,life,seikatsu
任せ,leave to,makase
気分,feeling,kibun
解決,Solution,kaiketsu
結果,result,kekka
調査,investigation,chōsa
研究,the study,kenkyū
何処,where,doko
発見,discover,hakken
場,Place,ba
大事,Important,daiji
止ま,Stopping,toma
興味,interest,kyōmi
大き,big,ōki
生,Living,nama
なあ,What,nā
運転,drive,unten
ヶ月,months,kagetsu
多,Many,ō
１人,One person,1nin
番号,number,bangō
状態,situation,jōtai
来い,come,koi
開,Open,hiraku
上手,good,jōzu
済,done,sumi
場合,case,baai
刑務,Sentence,keimu
今度,next time,kondo
以外,apart from,igai
朝,morning,asa
飛行,Flight,hikō
あまり,not much,amari
近く,shortly,chikaku
後ろ,behind,ushiro
目的,the purpose,mokuteki
歌,song,uta
面白,Fun,omoshiro
弁護,Defense,bengo
客,Customer,kyaku
売,Selling,u
特別,special,tokubetsu
昨日,yesterday,kinō
少な,Small,sukuna
認め,Recognition,mitome
死体,cadaver,shitai
医者,doctor,isha
装置,Device,sōchi
共,Both,tomo
唯一,Only,yuiitsu
あんな,Such a thing,anna
不明,not clear,fumei
限り,as long as,kagiri
信用,credit,shin'yō
美し,beautiful,utsukushi
用意,preparation,yōi
話せ,Talk,hanase
移動,Migration,idō
映画,movie,eiga
美咲,Beautiful Saki,misaki
取引,transaction,torihiki
最近,recently,saikin
現場,Site,gemba
事故,accident,jiko
連中,Their colleagues,renchū
過去,past,kako
全く,not at all,mattaku
選択,Selection,sentaku
完全,Perfect,kanzen
信じ,Belief,shinji
信頼,trust,shinrai
町,town,machi
何故,why,naze
始ま,Beginning,hajima
精神,spirit,seishin
付け,Attachment,tsuke
あら,fault,ara
女の子,girl,onnanoko
気づ,Awareness,kizu
記憶,Memory,kioku
頑張,Hard -working,gamba
2人,Two people,2nin
素敵,splendid,suteki
身,Body,mi
価値,worth,kachi
有,Existence,yū
非常,Informal,hijō
三,three,san
最も,most,mottomo
両親,parents,ryōshin
人物,person,jimbutsu
生まれ,birth,umare
警備,security,keibi
以前,Before,izen
無事,Safely,buji
聞け,Hear,kike
決して,never,kesshite
銀行,Bank,ginkō
馬鹿,fool,baka
裁判,trial,saiban
降り,Falling off,furi
大学,University,daigaku
州,state,shū
今回,this time,konkai
空,Sky,sora
経験,experience,keiken
本物,Real thing,hommono
部,Department,bu
化,Change,ka
未来,future,mirai
正直,honest,shōjiki
年間,Year,nenkan
無駄,waste,muda
現れ,Appearance,araware
島,island,shima
病気,disease,byōki
内,Inside,uchi
風,Wind,kaze
結構,very well,kekkō
治療,Treatment,chiryō
予定,schedule,yotei
点,point,ten
1人,1 person,1nin
許可,permission,kyoka
勇気,courage,yūki
最悪,terrible ,saiaku
本気,Seriousness,honki
全然,at all,zenzen
任務,mission,nimmu
日本,Japan,nippon
作戦,Strategy,sakusen
成功,success,seikō
進,Proceeding,susumu
近づ,Close,kinzu
品,Item,shina
消,Extinguishing,shō
小さな,small,chīsana
科学,Science,kagaku
放,Relief,hō
向こう,Across,mukō
事実,fact,jijitsu
食,Food,shoku
関,Relation,seki
戦い,Fight,tatakai
少年,boy,shōnen
爆発,explosion,bakuhatsu
現実,reality,genjitsu
保護,protection,hogo
地下,underground,chika
隊,Squad,tai
地,Land,chi
別れ,farewell,wakare
時代,Era,jidai
使え,Useful,tsukae
組織,Organization,soshiki
式,formula,shiki
落ち着け,Calmness,ochitsuke
動物,animal,dōbutsu
無し,none,nashi
下が,Below,shitaga
技術,Technology,gijutsu
個人,Individual,kojin
期待,Expectation,kitai
調子,condition,chōshi
線,line,sen
局,Bureau,tsubone
利用,use,riyō
主人,master,shujin
館,Mansion,tate
毎日,every day,mainichi
付,Attached,tsuke
当然,Of course,tōzen
患者,patient,kanja
全,all,chon
今朝,this morning,kesa
過ご,Passing,kago
馬,Horse,uma
あー,ah,ā
あたし,I,atashi
立て,stand up,date
地獄,hell,jigoku
：,:,:
合,Agency,gō
続,Continuation,zoku
陛下,His Majesty,heika
小さ,small,chīsa
火,fire,hi
平気,Calm,heiki
世話,care,sewa
能力,ability,nōryoku
理子,Riko,satoko
検査,test,kensa
アレックス,Alex,arekkusu
木,wood,ki
号,issue,gō
山,Mountain,yama
解,Solution,kai
警部,Police officer,keibu
食事,meal,shokuji
幸運,Good luck,kōun
構,Lingering,構
侵入,Invasion,shinnyū
駄目,Useless,dame
緊急,emergency,kinkyū
親父,father,oyaji
気付,care,kitsuke
主,main,aruji
速,Speed,haya
代わり,Substitute,kawari
休,Rest,kyū
原因,Cause,gen'in
警告,caveat,keikoku
山里,Mountain village,yamazato
特に,especially,tokuni
部下,subordinate,buka
運命,destiny,ummei
到着,arrival,tōchaku
自殺,suicide,jisatsu
屋,Shop,ya
現在,the current,genzai
一部,part,ichibu
行為,action,kōi
遺体,Body,itai
大切,important,taisetsu
関わ,Involved,kakawa
常,Always,tsune
感情,Emotion,kanjō
夕食,dinner,yūshoku
星,Star,hoshi
達也,Tatsuya,tatsuya
手紙,letter,tegami
混乱,confusion,konran
支配,Rule,shihai
影響,Impact,eikyō
受け入れ,accept,ukeire
知れ,Acquaintance,shire
行方,Whereabouts,yukue
少女,Girl,shōjo
位,Position,kurai
半分,half,hambun
誕生,birth,tanjō
超,Hyper,chō
施設,institution,shisetsu
殺せ,Kill,korose
向け,for,muke
機会,chance,kikai
人類,Human race,jinrui
正確,correct,seikaku
色々,various,iroiro
活動,Activity,katsudō
料理,cooking,ryōri
要求,request,yōkyū
再,Re -,sai
指示,Instructions,shiji
部隊,Troops,butai
何者,Who,nanimono
音楽,music,ongaku
上げ,Raising,age
管理,management,kanri
映像,picture,eizō
開始,start,kaishi
議員,Parliamentarians,giin
反対,oppose,hantai
勝手,selfish,katte
器,vessel,utsuwa
反応,reaction,hannō
可愛,cute,kawai
権利,right,kenri
女王,Queen,joō
師,Teacher,shi
大好き,really like,daisuki
面倒,troublesome,mendō
出発,departure,shuppatsu
引,Pulling out,引
保安,security,hoan
上が,Above,uega
決ま,Decision,kima
楽しみ,fun,tanoshimi
行き,Going out,iki
将軍,General,shōgun
担当,responsible person,tantō
事態,situation,jitai
一杯,a cup of,ichihai
近,Close,chika
発,Departure,hatsu
取り戻,Reconciliation,torimodo
偉大,Greatness,idai
結局,in the end,kekkyoku
ロシア,Russia,roshia
司令,command,shirei
平和,peace,heiwa
解放,release,kaihō
直,straight,tadashi
事務,Administrative office,jimu
瞬間,moment,shunkan
教授,Professor,kyōju
示,Indication,示
教会,Church,kyōkai
優し,Kind,yasashi
位置,position,ichi
以来,Since,irai
突然,suddenly,totsuzen
付き合,Association,tsukigō
集中,concentration,shūchū
通信,communication,tsūshin
あっち,There,atchi
契約,contract,keiyaku
異常,Abnormality,ijō
殺し,Killing,koroshi
部分,part,bubun
様子,state,yōsu
沢山,Lot,takusan
住所,address,jūsho
参加,Participation,sanka
旅,Journey,tabi
社,Shrine,sha
重,Heavy,omo
自然,Nature,shizen
殺害,Murder,satsugai
園,Garden,en
速人,Fastjin,hayajin
途中,in the middle,tochū
証言,testimony,shōgen
夏美,Summer beauty,natsumi
取れ,Gain,tore
前回,last time,zenkai
手術,Surgery,shujutsu
強盗,robbery,gōtō
種,seed,tane
魔女,witch,majo
信号,signal,shingō
専門,Specialty,semmon
閣下,Your Honor,kakka
会議,meeting,kaigi
美月,Beautiful moon,mizuki
提供,Providing,teikyō
離,Separation,hanare
荷物,load,nimotsu
安心,feel safe,anshin
基地,base,kichi
目撃,Witness,mokugeki
動き,Movement,ugoki
指,finger,yubi
時々,sometimes,tokidoki
怪物,monster,kaibutsu
会話,conversation,kaiwa
受け取,Receipt,uketo
一致,match,itchi
全体,whole,zentai
徳井,Tokoi,tokui
アンタ,You,anta
親,parent,oya
天使,angel,tenshi
勝利,victory,shōri
主義,Principle,shugi
旅行,trip,ryokō
死亡,death,shibō
夫人,Mrs.,fujin
目標,the goal,mokuhyō
個,Individual,ko
中国,China,chūgoku
生徒,student,seito
建物,building,tatemono
確信,conviction,kakushin
出会,encounter,deai
使用,use,shiyō
台,Stand,dai
社会,society,shakai
周り,Surroundings,mawari
市民,Citizen,shimin
色,colour,iro
停止,Stop,teishi
曲,song,kyoku
実験,experiment,jikken
直接,Direct,chokusetsu
川,river,kawa
ありがと,thank you,arigato
実行,execution,jikkō
半,half,han
乗せ,Boarding,nose
後悔,regret,kōkai
案内,guidance,annai
禁止,Ban,kinshi
距離,distance,kyori
次第,depend on,shidai
感染,infection,kansen
制御,control,seigyo
有名,famous,yūmei
戦闘,fight,sentō
以内,Within,inai
書類,document,shorui
偶然,Accidentally,gūzen
機械,machine,kikai
最終,Final,saishū
無視,ignore,mushi
王子,prince,ōji
呼吸,Breathing,kokyū
巨人,Giant,kyojin
軍隊,army,guntai
支援,support,shien
大人,adult,otona
同意,Consent,dōi
恋人,lover,koibito
知り合い,acquaintance,shiriai
努力,effort,doryoku
白,White,shiro
足り,Suffering,tari
進め,Advancement,susume
惑星,planet,wakusei
味方,Ally,mikata
回復,recovery,kaifuku
新聞,newspaper,shimbun
話し,story,hanashi
アパート,Apartment,apāto
組,set,kumi
アア,Ah,aa
生き残,Survival,ikinoko
一生,lifetime,isshō
処理,process,shori
兵器,weapons,heiki
方向,direction,hōkō
決定,Decision,kettei
当た,Afterwards,ata
アクセス,access,akusesu
満足,satisfaction,manzoku
クレア,Claire,kurea
神経,Nerve,shinkei
症,Illness,shō
親友,Close friend,shin'yū
流,Style,ryū
分析,analysis,bunseki
不思議,wonder,fushigi
限,Limit,kiri
半田,solder,handa
物語,story,monogatari
ア,ah,a
練習,training,renshū
久し,A long time,hisashi
他人,others,tanin
両方,both,ryōhō
南,South,minami
成長,growth,seichō
再び,again,futatabi
医,Doctor,i
指揮,Command,shiki
最大,maximum,saidai
病,disease,yamai
記事,article,kiji
時計,clock,tokei
アラン,Alan,aran
手段,means,shudan
高校,high school,kōkō
太陽,Sun,taiyō
具合,Condition,guai
青,Blue,ao
向,Direction,mukai
才能,talent,sainō
交換,exchange,kōkan
所有,Ownership,shoyū
最低,Lowest,saitei
救急,Emergency,kyūkyū
魅力,charm,miryoku
楽,easy,raku
応答,response,ōtō
最,Best,sai
修理,repair,shūri
勉強,study,benkyō
提案,suggestion,teian
資金,Funds,shikin
社長,president,shachō
ありさ,Existence,arisa
試合,game,shiai
気の毒,Sorry,kinodoku
金持ち,Rich man,kanemochi
安定,Stability,antei
指紋,fingerprint,shimon
流れ,flow,nagare
経,Sutra,kei
団,Group,dan
代,Substitute,dai
日間,Day,nichikan
午後,afternoon,gogo
政治,Politics,seiji
正体,Identity,shōtai
確保,Securing,kakuho
機能,function,kinō
優秀,excellence,yūshū
動か,move,ugoka
発生,occurrence,hassei
英雄,hero,eiyū
立場,position,tachiba
電気,electricity,denki
帽子,hat,bōshi
効果,effect,kōka
アンナ,Anna,anna
条件,conditions,jōken
確実,certainty,kakujitsu
連邦,Federation,rempō
規則,Rule,kisoku
土地,land,tochi
直ぐ,immediately,sugu
卒業,graduation,sotsugyō
手がかり,clue,tegakari
自己,self,jiko
列車,train,ressha
加減,Degree,kagen
暴力,violence,bōryoku
立派,fine,rippa
石,stone,ishi
同様,Same,dōyō
不安,anxiety,fuan
身体,body,shintai
ライアン,Ryan,raian
無線,wireless,musen
対処,handle,taisho
権,Right,ken
起動,start up,kidō
誤解,Misunderstanding,gokai
治,Cure,chi
雄基,Male group,yūki
接触,contact,sesshoku
名誉,honor,meiyo
説得,Persuasion,settoku
特定,identification,tokutei
標的,target,hyōteki
正義,justice,masayoshi
見張,Insight,miha
導,Guidance,shirube
無実,Innocence,mujitsu
アイツ,Guys,aitsu
興奮,excitement,kōfun
承知,know,shōchi
納得,agreement,nattoku
光栄,Honor,kōei
本部,Headquarters,hombu
変更,change,henkō
大佐,Colonel,taisa
空気,air,kūki
支払,payment,shiharai
あらゆる,every,arayuru
表,table,hyō
片付け,Cleaning up,katazuke
アダム,Adam,adamu
地図,map,chizu
法律,law,hōritsu
医療,medical care,iryō
台無し,spoil,dainashi
非,Unlucky,hi
貴様,you,kisama
形,shape,katachi
評価,evaluation,hyōka
都市,City,toshi
出身,where one is from,shusshin
釈放,release,shakuhō
大した,Great,taishita
保証,guarantee,hoshō
予想,Predict,yosō
省,Ministry,shō
疑問,Question,gimon
同僚,colleague,dōryō
変化,change,henka
交渉,negotiation,kōshō
合わせ,Match,awase
生命,life,seimei
村,village,mura
作業,work,sagyō
将来,future,shōrai
面,surface,men
悠里子,Yuriko,yūsatogo
空港,airport,kūkō
指輪,ring,yubiwa
巨大,Huge,kyodai
西,West,nishi
手配,Arrangement,tehai
工場,plant,kōjō
城,castle,shiro
取り,take,tori
話し合,Discussion,hanashigō
東,east,higashi
あるいは,or,aruiwa
目覚め,Awakening,mezame
金庫,safe,kinko
間違え,Mistake,machigae
馬場,Baba,baba
内部,internal,naibu
艦隊,fleet,kantai
食料,food,shokuryō
あり,can be,ari
保険,insurance,hoken
得意,good at,tokui
医師,Doctor,ishi
英語,English,eigo
離婚,divorce,rikon
子ども,Child,kodomo
違反,violation,ihan
公,public,ōyake
維持,Maintaining,iji
男の子,boy,otokonoko
政子,Government,masako
味,taste,aji
口座,account,kōza
大勢,in great numbers,taisei
鉄,iron,tetsu
親切,Kindness,shinsetsu
仕業,Work,shiwaza
贈り物,gift,okurimono
待機,stand-by,taiki
戦士,Warrior,senshi
知らせ,News,shirase
尋問,Interrogation,jimmon
発射,firing,hassha
食べ物,food,tabemono
系,system,kei
駅,station,eki
開発,development,kaihatsu
事情,Situation,jijō
育て,Raising,sodate
上司,boss,jōshi
国家,Nation,kokka
大使,Ambassador,taishi
機関,institution,kikan
生物,Creature,seibutsu
超え,Beyond,chōe
天才,genius,tensai
量,amount,ryō
横,beside,yoko
観,View,kan
入り,enter,hairi
正気,sanity,shōki
人質,hostage,hitojichi
有罪,Guilty,yūzai
約,about,yaku
中止,cancel,chūshi
発表,announcement,happyō
現金,cash,genkin
始末,Cleaning up,shimatsu
撮影,photograph,satsuei
衛星,satellite,eisei
都合,circumstances,tsugō
関連,connection,kanren
間に合,In time,manigō
小屋,Hut,koya
公園,park,kōen
単純,Simple,tanjun
王国,Kingdom,ōkoku
存知,Knowing,zonchi
加え,In addition,kuwae
道路,road,dōro
育,Raising,iku
神父,Priest,shimpu
慎重,Awareness,shinchō
生存,Survival,seizon
注文,order,chūmon
物質,material,busshitsu
関心,interest,kanshin
時期,season,jiki
駐車,Parking,chūsha
乗れ,Riding,nore
遺伝,Hereditary,iden
返事,reply,henji
エイリアン,alien,eirian
化学,Chemistry,kagaku
数え,Counting,kazoe
緊張,tension,kinchō
優先,priority,yūsen
米国,usa,beikoku
当て,Welcome,ate
出来事,event,dekigoto
設計,design,sekkei
大量,Mass,tairyō
投げ,Throwing,nage
内容,Content,naiyō
機密,Secret,kimitsu
授業,class,jugyō
義務,Duty,gimu
突き止め,Discontinuation,tsukitome
広,Widespread,hiro
通報,Report,tsūhō
文字,letter,moji
アップ,up,appu
学生,student,gakusei
オリビア,Olivia,oribia
暗殺,assassination,ansatsu
注目,attention,chūmoku
暗号,Cipher,angō
背中,back,senaka
囚人,Prisoner,shūjin
完成,Complete,kansei
休み,holiday,yasumi
孤独,Loneliness,kodoku
アイデア,idea,aidea
武装,Armament,busō
果た,End,hateta
地域,region,chiiki
始まり,Beginning,hajimari
見事,Brilliant,migoto
防衛,defense,bōei
人形,doll,ningyō
カリフォルニア,California,kariforunia
着陸,landing,chakuriku
文句,Complaint,monku
委員,Committee member,iin
地元,local,jimoto
自信,Confidence,jishin
貴女,you,kijo
知識,knowledge,chishiki
予約,reserve,yoyaku
メアリー,Mary,mearī
椅子,Chair,isu
教師,teacher,kyōshi
賛成,agreement,sansei
操作,operation,sōsa
要請,request,yōsei
記者,Reporter,kisha
今後,from now on,kongo
畜生,damn it,chikushō
伝説,Legend,densetsu
主張,Claim,shuchō
民,people,min
自ら,oneself,mizukara
死者,dead,shisha
アンディ,Andy,andi
機嫌,mood,kigen
小,small,shō
アリス,Alice,arisu
あきらめ,give up,akirame
程,Moderate,hodo
ばあ,Trajectory,baa
証人,witness,shōnin
議論,Discussion,giron
一般,Ordinary,ippan
先週,last week,senshū
放射,radiation,hōsha
程度,degree,teido
アホ,Stupid,aho
身元,Identity,mimoto
有難う,Thank you,arigatō
アーサー,Arthur,āsā
強力,Powerful,kyōryoku
同時,simultaneous,dōji
休暇,holiday,kyūka
拷問,torture,gōmon
出口,Exit,ideguchi
決断,decision,ketsudan
移,Transition,utsuri
大尉,Captain,taii
小僧,Kid,kozō
態度,attitude,taido
記念,anniversary,kinen
投資,investment,tōshi
危機,crisis,kiki
持て,Hold,mote
アナタ,you,anata
企業,Company,kigyō
接近,Approach,sekkin
世紀,century,seiki
一方,on the other hand,ippō
動け,Movement,ugoke
知ら,Knowing,shira
否定,denial,hitei
保管,storage,hokan
ジュリア,Julia,juria
吉森,Good forest,yoshimori
燃料,fuel,nenryō
源,source,minamoto
反,Anti,han
千,thousand,sen
